[ 2026-01-16 19:16:42,149 ] 15 root - INFO - Initiated the data ingestion
[ 2026-01-16 19:16:43,948 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-16 19:16:43,949 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-16 19:16:43,949 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-16 19:16:44,050 ] 81 root - INFO - Exported train and test file path
[ 2026-01-16 19:16:44,050 ] 17 root - INFO - Data Initation completed
[ 2026-01-16 19:16:44,063 ] 21 root - INFO - Initiate the data validation
[ 2026-01-16 19:16:44,101 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 19:16:44,124 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 19:16:44,124 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 19:16:44,124 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 19:16:44,334 ] 23 root - INFO - Data Validation completed
[ 2026-01-16 19:16:44,334 ] 26 root - INFO - Data Transformation started
[ 2026-01-16 19:16:44,334 ] 56 root - INFO - Entered initiate_datat_transformation method of DataTransformation class
[ 2026-01-16 19:16:44,334 ] 58 root - INFO - Starting data transformation
[ 2026-01-16 19:16:44,371 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-01-16 19:16:44,371 ] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-16 19:16:44,417 ] 50 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-16 19:16:44,417 ] 54 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-16 19:16:44,430 ] 30 root - INFO - Data Transformation completed
