[ 2026-01-16 15:06:47,226 ] 15 root - INFO - Initiated the data ingestion
[ 2026-01-16 15:06:49,823 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-16 15:06:49,823 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-16 15:06:49,823 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-16 15:06:49,903 ] 81 root - INFO - Exported train and test file path
[ 2026-01-16 15:06:49,903 ] 17 root - INFO - Data Initation completed
[ 2026-01-16 15:06:49,919 ] 21 root - INFO - Initiate the data validation
[ 2026-01-16 15:06:49,955 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 15:06:49,959 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 15:06:49,959 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 15:06:49,959 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 15:06:50,141 ] 23 root - INFO - Data Validation completed
[ 2026-01-16 15:06:50,141 ] 26 root - INFO - Data Transformation started
[ 2026-01-16 15:06:50,141 ] 56 root - INFO - Entered initiate_datat_transformation method of DataTransformation class
[ 2026-01-16 15:06:50,141 ] 58 root - INFO - Starting data transformation
