[ 2026-01-16 19:15:59,465 ] 15 root - INFO - Initiated the data ingestion
[ 2026-01-16 19:16:01,407 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-16 19:16:01,407 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-16 19:16:01,407 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-16 19:16:01,524 ] 81 root - INFO - Exported train and test file path
[ 2026-01-16 19:16:01,524 ] 17 root - INFO - Data Initation completed
[ 2026-01-16 19:16:01,533 ] 21 root - INFO - Initiate the data validation
[ 2026-01-16 19:16:01,573 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 19:16:01,597 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 19:16:01,597 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 19:16:01,599 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 19:16:01,844 ] 23 root - INFO - Data Validation completed
[ 2026-01-16 19:16:01,844 ] 26 root - INFO - Data Transformation started
[ 2026-01-16 19:16:01,845 ] 56 root - INFO - Entered initiate_datat_transformation method of DataTransformation class
[ 2026-01-16 19:16:01,845 ] 58 root - INFO - Starting data transformation
[ 2026-01-16 19:16:01,893 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-01-16 19:16:01,893 ] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
