[ 2026-01-18 16:55:42,711 ] 164 numexpr.utils - INFO - NumExpr defaulting to 12 threads.
[ 2026-01-18 16:55:45,632 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-01-18 16:55:45,651 ] 107 dagshub - INFO - Accessing as SulaimanMansaray335
[ 2026-01-18 16:55:46,063 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/SulaimanMansaray335/Network-Security-Project "HTTP/1.1 200 OK"
[ 2026-01-18 16:55:46,461 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-01-18 16:55:46,461 ] 107 dagshub - INFO - Initialized MLflow to track repo "SulaimanMansaray335/Network-Security-Project"
[ 2026-01-18 16:55:46,472 ] 107 dagshub - INFO - Repository SulaimanMansaray335/Network-Security-Project initialized!
[ 2026-01-18 16:56:59,363 ] 21 root - INFO - Start Data Ingestion
[ 2026-01-18 16:57:01,740 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-18 16:57:01,740 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-18 16:57:01,740 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-18 16:57:01,822 ] 81 root - INFO - Exported train and test file path
[ 2026-01-18 16:57:01,822 ] 24 root - INFO - Data Ingestion completed on artifact: DataIngestionArtifact(trained_file_path='Artifacts\\01_18_2026_16_55_42\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\01_18_2026_16_55_42\\data_ingestion\\ingested\\test.csv')
[ 2026-01-18 16:57:01,822 ] 34 root - INFO - Initiate the Data Validation
[ 2026-01-18 16:57:01,860 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-18 16:57:01,860 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-18 16:57:01,861 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-18 16:57:01,861 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-18 16:57:02,036 ] 45 root - INFO - Initiate Data Transformation
[ 2026-01-18 16:57:02,036 ] 56 root - INFO - Entered initiate_datat_transformation method of DataTransformation class
[ 2026-01-18 16:57:02,036 ] 58 root - INFO - Starting data transformation
[ 2026-01-18 16:57:02,069 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-01-18 16:57:02,069 ] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-18 16:57:02,083 ] 52 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-18 16:57:02,088 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-18 16:57:02,088 ] 52 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-18 16:57:02,091 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-18 18:17:06,905 ] 52 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-18 18:17:06,911 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-18 18:17:06,911 ] 52 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-18 18:17:06,919 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-18 18:17:06,919 ] 138 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_18_2026_16_55_42\\model_trainer\\trained_model\\model.pk1', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911227680823161, precision_score=0.9880329847144006, recall_score=0.9942319368548876), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9864643150123051, precision_score=0.9840425531914894, recall_score=0.9888980263157895))
