[ 2026-01-16 11:49:44,660 ] 14 root - INFO - Initiated the data ingestion
[ 2026-01-16 11:49:48,309 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-16 11:49:48,309 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-16 11:49:48,309 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-16 11:49:48,550 ] 81 root - INFO - Exported train and test file path
[ 2026-01-16 11:49:48,555 ] 16 root - INFO - Data Initation completed
[ 2026-01-16 11:49:48,573 ] 20 root - INFO - Initiate the data validation
[ 2026-01-16 11:49:48,642 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 11:49:48,664 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 11:49:48,664 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-16 11:49:48,664 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-16 11:49:49,000 ] 22 root - INFO - Data validation completed
