[ 2026-01-17 00:22:02,826 ] 16 root - INFO - Initiated the data ingestion
[ 2026-01-17 00:22:04,606 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-17 00:22:04,606 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-17 00:22:04,607 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-17 00:22:04,694 ] 81 root - INFO - Exported train and test file path
[ 2026-01-17 00:22:04,697 ] 18 root - INFO - Data Initation completed
[ 2026-01-17 00:22:04,704 ] 22 root - INFO - Initiate the data validation
[ 2026-01-17 00:22:04,734 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-17 00:22:04,736 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-17 00:22:04,736 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-17 00:22:04,736 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-17 00:22:04,924 ] 24 root - INFO - Data Validation completed
[ 2026-01-17 00:22:04,924 ] 27 root - INFO - Data Transformation started
[ 2026-01-17 00:22:04,924 ] 56 root - INFO - Entered initiate_datat_transformation method of DataTransformation class
[ 2026-01-17 00:22:04,924 ] 58 root - INFO - Starting data transformation
[ 2026-01-17 00:22:04,956 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-01-17 00:22:04,956 ] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-17 00:22:04,970 ] 52 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-17 00:22:04,973 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-17 00:22:04,974 ] 31 root - INFO - Data Transformation completed
[ 2026-01-17 00:22:04,974 ] 33 root - INFO - Model Training started
