[ 2026-01-17 00:15:19,399 ] 16 root - INFO - Initiated the data ingestion
[ 2026-01-17 00:15:21,590 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-17 00:15:21,590 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-17 00:15:21,591 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-17 00:15:21,670 ] 81 root - INFO - Exported train and test file path
[ 2026-01-17 00:15:21,670 ] 18 root - INFO - Data Initation completed
[ 2026-01-17 00:15:21,670 ] 22 root - INFO - Initiate the data validation
[ 2026-01-17 00:15:21,709 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-17 00:15:21,710 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-17 00:15:21,710 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-17 00:15:21,710 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-17 00:15:21,920 ] 24 root - INFO - Data Validation completed
[ 2026-01-17 00:15:21,920 ] 27 root - INFO - Data Transformation started
[ 2026-01-17 00:15:21,920 ] 56 root - INFO - Entered initiate_datat_transformation method of DataTransformation class
[ 2026-01-17 00:15:21,920 ] 58 root - INFO - Starting data transformation
[ 2026-01-17 00:15:21,960 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-01-17 00:15:21,960 ] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-17 00:15:21,979 ] 52 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-17 00:15:21,983 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-17 00:15:21,984 ] 31 root - INFO - Data Transformation completed
[ 2026-01-17 00:15:21,984 ] 33 root - INFO - Model Training started
