[ 2026-01-17 00:21:27,785 ] 16 root - INFO - Initiated the data ingestion
[ 2026-01-17 00:21:29,645 ] 62 root - INFO - Performed train test split on the dataframe
[ 2026-01-17 00:21:29,645 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-17 00:21:29,648 ] 72 root - INFO - Exporting train and test file path.
[ 2026-01-17 00:21:29,731 ] 81 root - INFO - Exported train and test file path
[ 2026-01-17 00:21:29,734 ] 18 root - INFO - Data Initation completed
[ 2026-01-17 00:21:29,739 ] 22 root - INFO - Initiate the data validation
[ 2026-01-17 00:21:29,772 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-17 00:21:29,772 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-17 00:21:29,772 ] 33 root - INFO - Required number of columns: 2
[ 2026-01-17 00:21:29,772 ] 34 root - INFO - Data frame has columns: 31
[ 2026-01-17 00:21:29,969 ] 24 root - INFO - Data Validation completed
[ 2026-01-17 00:21:29,969 ] 27 root - INFO - Data Transformation started
[ 2026-01-17 00:21:29,969 ] 56 root - INFO - Entered initiate_datat_transformation method of DataTransformation class
[ 2026-01-17 00:21:29,970 ] 58 root - INFO - Starting data transformation
[ 2026-01-17 00:21:30,000 ] 42 root - INFO - Entered get_data_transformer_object method of DataTransformation class
[ 2026-01-17 00:21:30,000 ] 47 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-17 00:21:30,008 ] 52 root - INFO - Entered the save objected method of MainUtils class
[ 2026-01-17 00:21:30,016 ] 56 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-17 00:21:30,018 ] 31 root - INFO - Data Transformation completed
[ 2026-01-17 00:21:30,018 ] 33 root - INFO - Model Training started
